1600209427 1 0 0
1600209453 2 0 0
1600209678 3 0 0
1600461021 3 0 1
1600462625 4 0 1
1600462635 5 0 1
1601671033 6 0 1
1601671983 7 0 1
1602270564 7 1 1
1602456885 8 1 1
1602456901 9 1 1
1602456917 10 1 1
1602457273 11 1 1
1602458608 12 1 1
1602458630 13 1 1
1602532280 14 1 1
1602532383 15 1 1
1602534338 16 1 1
1602537741 17 1 1
1603596065 18 1 1
1603596098 19 1 1
1603596128 20 1 1
1603596915 21 1 1
1603597033 22 1 1
1603604433 22 2 1
1603649617 22 3 1
1603653200 22 4 1
1603663385 23 4 1
1603688682 24 4 1
1603688702 25 4 1
1603688741 26 4 1
1603928225 26 5 1
1603928412 26 6 1
1603936291 26 7 1
1604004423 26 8 1
1604084450 26 9 1
1604793721 27 9 1
1604793744 28 9 1
1604793828 29 9 1
1604793870 30 9 1
1604796067 31 9 1
1604796089 32 9 1
1604796108 33 9 1
1604796939 34 9 1
1604796954 35 9 1
1604797204 36 9 1
1604824309 36 10 1
1604888310 36 11 1
1604888538 36 12 1
1605411109 37 12 1
1605412635 38 12 1
1605412754 39 12 1
1605495585 39 13 1
1605984962 40 13 1
1605984985 41 13 1
1605985075 42 13 1
1606007430 43 13 1
1606085015 44 13 1
1606085035 45 13 1
1606085114 46 13 1
1606104236 46 14 1
1606105873 46 15 1
1607155332 46 16 1
1607228020 46 17 1
1607228679 46 18 1
1607234174 47 18 1
1607234550 48 18 1
1607236629 49 18 1
1607242601 49 19 1
1607299333 50 19 1
